SegmentIndex,ECG_R_Peak_1Based,PPG_Systolic_Peak_1Based
0,247,100
0,503,356
0,759,612
0,1015,868
0,1271,1124
0,1531,1380
0,1786,1644
0,2044,1897
0,2305,2153
0,2560,2414
0,2817,2667
0,3077,2927
0,3334,3190
0,3591,3445
0,3852,3700
0,4106,3962
0,4362,4219
0,4525,4474
0,4618,4729
0,4866,4971
0,5112,5220
0,5360,5466
0,5606,5713
0,5846,5951
0,6083,6197
0,6323,6433
0,6570,6676
0,6820,6925
0,7082,7190
0,7331,7440
0,7586,7696
0,7841,7955
0,8101,8214
0,8353,8462
0,8606,8718
0,8864,8973
0,9123,9238
0,9381,9492
0,9636,9746
0,9896,10006
0,10150,10258
0,10406,10519
0,10665,10780
0,10917,11027
0,11166,11281
0,11408,11524
0,11642,11757
0,11891,12001
0,12133,12236
0,12372,12458
0,12614,12697
0,12856,12941
0,13108,13194
0,13366,13451
0,13624,13714
0,13884,13978
0,14143,14233
0,14400,14493
0,14658,14766
0,14918,15024
0,15178,15283
1,80,1.84467e+19
1,343,191
1,609,451
1,874,716
1,1135,983
1,1397,1250
1,1657,1509
1,1917,1764
1,2177,2021
1,2436,2286
1,2694,2547
1,2951,2807
1,3208,3064
1,3463,3323
1,3718,3577
1,3971,3829
1,4225,4085
1,4477,4341
1,4731,4590
1,4985,4847
1,5238,5096
1,5491,5346
1,5745,5602
1,5996,5860
1,6250,6108
1,6499,6360
1,6749,6608
1,7001,6860
1,7251,7112
1,7497,7359
1,7744,7606
1,7994,7853
1,8244,8104
1,8494,8355
1,8745,8606
1,8997,8856
1,9251,9107
1,9505,9358
1,9755,9613
1,10002,9862
1,10250,10120
1,10499,10369
1,10748,10617
1,10998,10859
1,11250,11110
1,11499,11360
1,11746,11609
1,11994,11855
1,12243,12108
1,12497,12356
1,12745,12609
1,12996,12856
1,13251,13107
1,13499,13366
1,13749,13609
1,14002,13860
1,14254,14116
1,14509,14366
1,14759,14624
1,15014,14871
1,15269,15131
1,,15359
2,158,20
2,410,271
2,660,522
2,911,773
2,1163,1024
2,1410,1272
2,1659,1518
2,1912,1774
2,2158,2019
2,2412,2268
2,2662,2525
2,2917,2775
2,3173,3028
2,3425,3279
2,3680,3532
2,3932,3797
2,4184,4045
2,4440,4294
2,4694,4555
2,4946,4809
2,5199,5061
2,5452,5313
2,5702,5564
2,5952,5815
2,6206,6064
2,6460,6319
2,6711,6570
2,6963,6820
2,7215,7083
2,7460,7330
2,7709,7570
2,7956,7817
2,8202,8065
2,8446,8310
2,8695,8555
2,8938,8807
2,9180,9055
2,9420,9285
2,9662,9531
2,9917,9773
2,10172,10025
2,10422,10283
2,10666,10530
2,10926,10773
2,11175,11039
2,11425,11284
2,11679,11539
2,11933,11794
2,12182,12042
2,12437,12289
2,12688,12554
2,12940,12803
2,13193,13057
2,13450,13306
2,13701,13564
2,13956,13816
2,14214,14068
2,14467,14329
2,14721,14578
2,14976,14833
2,15228,15089
2,,15338
3,120,1.84467e+19
3,374,231
3,624,484
3,873,736
3,1122,984
3,1373,1235
3,1633,1483
3,1876,1742
3,2126,1982
3,2381,2243
3,2633,2493
3,2884,2740
3,3140,2995
3,3395,3247
3,3645,3506
3,3898,3756
3,4155,4002
3,4408,4268
3,4658,4513
3,4913,4771
3,5168,5019
3,5421,5279
3,5673,5531
3,5928,5784
3,6187,6041
3,6437,6301
3,6692,6548
3,6954,6806
3,7211,7069
3,7469,7321
3,7732,7581
3,7989,7846
3,8244,8105
3,8493,8356
3,8754,8603
3,9000,8864
3,9249,9110
3,9500,9360
3,9752,9615
3,10005,9864
3,10252,10118
3,10492,10361
3,10731,10605
3,10978,10840
3,11232,11091
3,11485,11347
3,11740,11598
3,11994,11850
3,12248,12105
3,12505,12357
3,12760,12618
3,13015,12866
3,13275,13129
3,13534,13388
3,13789,13645
3,14046,13902
3,14307,14160
3,14570,14421
3,14763,14682
3,14827,14943
3,15085,15195
3,15152,
3,15228,
4,46,98
4,191,344
4,283,597
4,363,851
4,490,1113
4,548,1369
4,577,1619
4,701,1873
4,923,2127
4,1002,2379
4,1255,2629
4,1505,2885
4,1574,3142
4,1756,3390
4,1874,3645
4,1936,3894
4,2016,4143
4,2237,4395
4,2265,4647
4,2667,4893
4,2771,5152
4,2832,5402
4,3025,5655
4,3276,5909
4,3455,6165
4,3534,6416
4,3782,6672
4,4031,6928
4,4283,7184
4,4532,7433
4,4783,7695
4,5036,7950
4,5290,8211
4,5543,8467
4,5795,8730
4,6051,8990
4,6305,9246
4,6560,9506
4,6815,9769
4,7075,10027
4,7328,10286
4,7583,10548
4,7840,10805
4,8099,11068
4,8354,11326
4,8611,11585
4,8876,11848
4,9134,12104
4,9392,12366
4,9653,12619
4,9915,12880
4,10173,13141
4,10433,13396
4,10695,13660
4,10954,13917
4,11215,14163
4,11472,14408
4,11730,14656
4,11990,14914
4,12251,15176
4,12506,
4,12767,
4,13029,
4,13285,
4,13545,
4,13801,
4,14049,
4,14297,
4,14548,
4,14802,
4,15060,
4,15317,
5,212,67
5,472,322
5,733,583
5,986,846
