# UPSAMPLED
time_s,ecg1,ecg2,ecg3,ppg,abp,accelx,accely,accelz,resp,cvp
0.000000,8185,8169,8175,2214,-1,-1,-1,-1,1011,-1
0.001000,8185,8169,8175,2217.875,0,0,0,0,1010.875,0
0.002000,8185,8169,8175,2221.75,0,0,0,0,1010.75,0
0.003000,8185,8169,8175,2225.625,-1.293263e-231,-2.3775268e-212,-1.2973516e-231,-1.2986096e-231,1010.625,-3.8384529e-270
0.004000,8185,8169,8175,2229.5,4.9406565e-324,1.9762626e-323,4.9406565e-324,4.9406565e-324,1010.5,4.9406565e-324
0.005000,8185,8169,8175,2233.375,9.8813129e-324,2.4703282e-323,9.8813129e-324,7.2636753,1010.375,4.9406565e-324
0.006000,8185,8169,8175,2237.25,-1,7.5659641e-307,1.1654911e-311,1.3354594e-320,1010.25,6.3240403e-322
0.007000,8185,8169,8175,2241.125,0,2.7814866e-307,1.1654911e-311,1.1654884e-311,1010.125,2.0317034e-255
0.008000,8185,8169,8175,2245,0,0,0,0,1010,1.1654884e-311
0.009000,8185,8169,8175,2248.25,-3.0118448e-241,-2.3781069e-212,-3.8134979e-270,-3.817195e-270,1009.875,-1.3064724e-231
0.010000,8185,8169,8175,2251.5,9.3460504e-307,4.2278678e-307,4.9406565e-324,1.7802058e-306,1009.75,4.9406565e-324
0.011000,8185,8169,8175,2254.75,1.3351197e-306,4.227749e-307,5.9287878e-323,4.0053604e-307,1009.625,9.8813129e-324
0.012000,8185,8169,8175,2258,7.5660252e-307,9.3460572e-307,6.3240403e-322,1.3350939e-306,1009.5,1.1654911e-311
0.013000,8185,8169,8175,2261.25,1.6912137e-306,4.9406565e-322,2.0317034e-255,7.5659234e-307,1009.375,1.1654911e-311
0.014000,8185,8169,8175,2264.5,0,0,1.1654884e-311,2.4191111e-312,1009.25,0
0.015000,8185,8169,8175,2267.75,-1.293892e-231,-5.5383125e-222,-3.8144222e-270,-1.2992386e-231,1009.125,-1.3067869e-231
