# UPSAMPLED
time_s,ecg1,ecg2,ecg3,ppg,abp,accelx,accely,accelz,resp,cvp
0.000000,8182,8166,8175,1975,-1,-1,-1,-1,2218,-1
0.001000,8182.5,8166.5,8175,1974.125,,,,,2216.6875,
0.002000,8183,8167,8175,1973.25,,,,,2215.375,
0.003000,8182.5,8167.5,8176,1972.375,,,,,2214.0625,
0.004000,8182,8168,8177,1971.5,,,,,2212.75,
0.005000,8182,8168,8177,1970.625,,,,,2211.4375,
0.006000,8182,8168,8177,1969.75,,,,,2210.125,
0.007000,8182,8168,8177,1968.875,,,,,2208.8125,
0.008000,8182,8168,8177,1968,,,,,2207.5,
0.009000,8182,8167,8176,1967,,,,,2206.1875,
0.010000,8182,8166,8175,1966,,,,,2204.875,
0.011000,8182,8166,8175,1965,,,,,2203.5625,
0.012000,8182,8166,8175,1964,,,,,2202.25,
0.013000,8182,8166,8175,1963,,,,,2200.9375,
0.014000,8182,8166,8175,1962,,,,,2199.625,
0.015000,8182,8166,8175,1961,,,,,2198.3125,
0.016000,8182,8166,8175,1960,,,,,2197,
0.017000,8183,8166,8174,1958.875,,,,,2195.4375,
0.018000,8184,8166,8173,1957.75,,,,,2193.875,
0.019000,8183.5,8166.5,8174,1956.625,,,,,2192.3125,
0.020000,8183,8167,8175,1955.5,,,,,2190.75,
0.021000,8183,8167,8175,1954.375,,,,,2189.1875,
0.022000,8183,8167,8175,1953.25,,,,,2187.625,
0.023000,8183.5,8166.5,8174,1952.125,,,,,2186.0625,
0.024000,8184,8166,8173,1951,,,,,2184.5,
0.025000,8184,8166,8173,1949.875,,,,,2182.9375,
0.026000,8184,8166,8173,1948.75,,,,,2181.375,
0.027000,8183,8166,8174,1947.625,,,,,2179.8125,
0.028000,8182,8166,8175,1946.5,,,,,2178.25,
0.029000,8182.5,8166.5,8175,1945.375,,,,,2176.6875,
0.030000,8183,8167,8175,1944.25,,,,,2175.125,
0.031000,8183,8167,8175,1943.125,,,,,2173.5625,
0.032000,8183,8167,8175,1942,,,,,2172,
0.033000,8183.5,8166.5,8174,1940.875,,,,,2170,
0.034000,8184,8166,8173,1939.75,,,,,2168,
0.035000,8184.5,8165.5,8172,1938.625,,,,,2166,
0.036000,8185,8165,8171,1937.5,,,,,2164,
0.037000,8185,8165,8171,1936.375,,,,,2162,
0.038000,8185,8165,8171,1935.25,,,,,2160,
0.039000,8185.5,8165.5,8171,1934.125,,,,,2158,
0.040000,8186,8166,8171,1933,,,,,2156,
0.041000,8186,8166,8171,1932,,,,,2154,
0.042000,8186,8166,8171,1931,,,,,2152,
0.043000,8186,8166,8171,1930,,,,,2150,
0.044000,8186,8166,8171,1929,,,,,2148,
0.045000,8186,8166,8171,1928,,,,,2146,
0.046000,8186,8166,8171,1927,,,,,2144,
0.047000,8185.5,8166.5,8172,1926,,,,,2142,
0.048000,8185,8167,8173,1925,,,,,2140,
0.049000,8186,8167,8172,1923.875,,,,,2137.625,
0.050000,8187,8167,8171,1922.75,,,,,2135.25,
0.051000,8186.5,8167.5,8172,1921.625,,,,,2132.875,
0.052000,8186,8168,8173,1920.5,,,,,2130.5,
0.053000,8186,8168,8173,1919.375,,,,,2128.125,
0.054000,8186,8168,8173,1918.25,,,,,2125.75,
0.055000,8186,8168,8173,1917.125,,,,,2123.375,
0.056000,8186,8168,8173,1916,,,,,2121,
0.057000,8185.5,8167.5,8173,1914.875,,,,,2118.625,
0.058000,8185,8167,8173,1913.75,,,,,2116.25,
0.059000,8184.5,8165.5,8172,1912.625,,,,,2113.875,
0.060000,8184,8164,8171,1911.5,,,,,2111.5,
0.061000,8183,8161,8169,1910.375,,,,,2109.125,
0.062000,8182,8158,8167,1909.25,,,,,2106.75,
0.063000,8180.5,8153.5,8164,1908.125,,,,,2104.375,
0.064000,8179,8149,8161,1907,,,,,2102,
0.065000,8178,8143,8156,1906.125,,,,,2098.9375,
0.066000,8177,8137,8151,1905.25,,,,,2095.875,
0.067000,8176,8132,8147,1904.375,,,,,2092.8125,
0.068000,8175,8127,8143,1903.5,,,,,2089.75,
