beat,ecg1_x,ecg1_y,ecg2_x,ecg2_y,ecg3_x,ecg3_y,ppg_x,ppg_y,abp_x,abp_y,art_x,art_y,art_pulm_x,art_pulm_y,accel_x,accel_y,blanking_ecg1,threshold_ecg1,blanking_ecg2,threshold_ecg2,blanking_ecg3,threshold_ecg3,blanking_ppg,threshold_ppg,blanking_abp,threshold_abp,blanking_art,threshold_art,blanking_art_pulm,threshold_art_pulm,blanking_accel,threshold_accel,marked_ecg1,marked_ecg2,marked_ecg3,marked_ppg,marked_abp,marked_art,marked_art_pulm,marked_accel,post_ecg1,post_ecg2,post_ecg3,post_ppg,post_abp,post_art,post_art_pulm,post_accel,inverted_ecg1,inverted_ecg2,inverted_ecg3,inverted_ppg,inverted_abp,inverted_art,inverted_art_pulm,inverted_accel
0,0.160156,1.327001,0.000000,0.000000,0.000000,0.000000,0.539062,0.020371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.160156,1.327001,0.000000,0.000000,0.000000,0.000000,1.539062,0.020371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.160156,1.327001,0.000000,0.000000,0.000000,0.000000,2.539062,0.020371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.160156,1.327001,0.000000,0.000000,0.000000,0.000000,3.539062,0.020371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.160156,1.327001,0.000000,0.000000,0.000000,0.000000,4.539062,0.020371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.160156,1.327001,0.000000,0.000000,0.000000,0.000000,5.539062,0.020371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.019531,1.146181,0.000000,0.000000,0.000000,0.000000,6.375000,0.018540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6.855469,1.373999,0.000000,0.000000,0.000000,0.000000,6.593750,-0.005875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7.703125,1.317998,0.000000,0.000000,0.000000,0.000000,7.242188,0.029068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8.550781,1.360723,0.000000,0.000000,0.000000,0.000000,8.082031,0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9.410156,1.276036,0.000000,0.000000,0.000000,0.000000,8.285156,0.003738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10.257812,1.350500,0.000000,0.000000,0.000000,0.000000,8.949219,0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11.105469,1.251011,0.000000,0.000000,0.000000,0.000000,9.152344,-0.000687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11.976562,1.160372,0.000000,0.000000,0.000000,0.000000,9.761719,0.022202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12.851562,1.285649,0.000000,0.000000,0.000000,0.000000,9.964844,0.013504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,13.726562,1.320592,0.000000,0.000000,0.000000,0.000000,10.199219,-0.015335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,14.593750,1.360723,0.000000,0.000000,0.000000,0.000000,10.585938,0.017624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,15.484375,1.346685,0.000000,0.000000,0.000000,0.000000,10.789062,0.015640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16.375000,1.317693,0.000000,0.000000,0.000000,0.000000,11.511719,0.036851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,17.253906,1.323491,0.000000,0.000000,0.000000,0.000000,11.777344,-0.001297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,18.117188,1.241245,0.000000,0.000000,0.000000,0.000000,12.386719,0.034104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,18.996094,1.298619,0.000000,0.000000,0.000000,0.000000,12.601562,-0.001755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,19.878906,1.269017,0.000000,0.000000,0.000000,0.000000,13.218750,0.021592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,20.156250,0.432364,0.000000,0.000000,0.000000,0.000000,13.425781,0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,20.773438,1.257267,0.000000,0.000000,0.000000,0.000000,14.105469,0.007095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,21.640625,1.306401,0.000000,0.000000,0.000000,0.000000,14.312500,-0.012131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,22.511719,1.229953,0.000000,0.000000,0.000000,0.000000,15.007812,0.008927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23.390625,1.366369,0.000000,0.000000,0.000000,0.000000,15.917969,0.012284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24.281250,1.359655,0.000000,0.000000,0.000000,0.000000,16.812500,0.009995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,25.152344,1.356909,0.000000,0.000000,0.000000,0.000000,17.679688,0.008316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,25.425781,0.448081,0.000000,0.000000,0.000000,0.000000,18.484375,0.005570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,26.015625,1.346532,0.000000,0.000000,0.000000,0.000000,18.695312,-0.006180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,26.292969,0.448081,0.000000,0.000000,0.000000,0.000000,19.425781,0.017472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,26.894531,1.337987,0.000000,0.000000,0.000000,0.000000,20.304688,0.021897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,27.769531,1.367437,0.000000,0.000000,0.000000,0.000000,20.507812,-0.012894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
