bin_index,bad_r_ch1,bad_r_ch2,bad_r_ch3,ppg_issue,ppg_issue_text,p_begin_ch1,p_begin_ch2,p_begin_ch3,q_begin_ch1,q_begin_ch2,q_begin_ch3,t_begin_ch1,t_begin_ch2,t_begin_ch3,t_end_ch1,t_end_ch2,t_end_ch3,ppg_onset,ppg_peak,ppg_dicrotic,ppg_50,ppg_end,p_begin_ch1_sec,p_begin_ch2_sec,p_begin_ch3_sec,q_begin_ch1_sec,q_begin_ch2_sec,q_begin_ch3_sec,t_begin_ch1_sec,t_begin_ch2_sec,t_begin_ch3_sec,t_end_ch1_sec,t_end_ch2_sec,t_end_ch3_sec,ppg_onset_sec,ppg_peak_sec,ppg_dicrotic_sec,ppg_50_sec,ppg_end_sec
0,0,1,1,0,ok,74,,,134,,,317,,,308,,,7,225,856,88,881,0.074,,,0.134,,,0.317,,,0.308,,,0.007,0.225,0.856,0.088,0.881
1,0,1,1,0,ok,67,,,128,,,315,,,305,,,1,234,945,86,955,0.067,,,0.128,,,0.315,,,0.305,,,0.001,0.234,0.945,0.086,0.955
2,0,1,1,0,ok,67,,,128,,,328,,,336,,,6,225,852,96,913,0.067,,,0.128,,,0.328,,,0.336,,,0.006,0.225,0.852,0.096,0.913
3,0,1,1,0,ok,70,,,131,,,334,,,323,,,1,221,895,89,901,0.07,,,0.131,,,0.334,,,0.323,,,0.001,0.221,0.895,0.089,0.901
4,0,1,1,0,ok,62,,,123,,,342,,,366,,,10,211,908,90,918,0.062,,,0.123,,,0.342,,,0.366,,,0.01,0.211,0.908,0.09,0.918
5,0,1,1,0,ok,71,,,128,,,333,,,321,,,5,211,848,90,850,0.071,,,0.128,,,0.333,,,0.321,,,0.005,0.211,0.848,0.09,0.85
6,0,1,1,0,ok,32,,,94,,,280,,,438,,,26,153,688,86,723,0.032,,,0.094,,,0.28,,,0.438,,,0.026,0.153,0.688,0.086,0.723
7,0,1,1,0,ok,58,,,99,,,336,,,365,,,5,204,875,87,912,0.058,,,0.099,,,0.336,,,0.365,,,0.005,0.204,0.875,0.087,0.912
8,0,1,1,0,ok,62,,,122,,,314,,,337,,,7,203,817,85,838,0.062,,,0.122,,,0.314,,,0.337,,,0.007,0.203,0.817,0.085,0.838
9,0,1,1,0,ok,65,,,126,,,329,,,341,,,4,196,815,86,823,0.065,,,0.126,,,0.329,,,0.341,,,0.004,0.196,0.815,0.086,0.823
