sample_index,ch1_raw,ch1_squared,ch1_absval,ch1_unfiltered,ch2_raw,ch2_squared,ch2_absval,ch2_unfiltered,ch3_raw,ch3_squared,ch3_absval,ch3_unfiltered,ppg
n_contributing,120,120,120,120,0,0,0,0,0,0,0,0,120
0,-0.137569118,0.041584922,0.0907868123,-0.137569118,,,,,,,,,-0.0968834805
1,-0.140706563,0.0418445321,0.0926283087,-0.140706563,,,,,,,,,-0.0966494515
2,-0.143916063,0.042065811,0.0943745867,-0.143916063,,,,,,,,,-0.0968179583
3,-0.146439365,0.0422383975,0.0960099117,-0.146439365,,,,,,,,,-0.0970483954
4,-0.148453721,0.0428937513,0.0975374321,-0.148453721,,,,,,,,,-0.0971782271
5,-0.149506574,0.0432212388,0.0989915794,-0.149506574,,,,,,,,,-0.0973013824
6,-0.151536506,0.0439767032,0.0999868334,-0.151536506,,,,,,,,,-0.0970282957
7,-0.153465208,0.0446322599,0.101196606,-0.153465208,,,,,,,,,-0.0969652321
8,-0.153999531,0.0447234834,0.103032267,-0.153999531,,,,,,,,,-0.096769852
9,-0.155158172,0.04485067,0.104369247,-0.155158172,,,,,,,,,-0.0965989685
10,-0.155929642,0.0450159402,0.104774274,-0.155929642,,,,,,,,,-0.0962988616
11,-0.157260134,0.0451968656,0.106454486,-0.157260134,,,,,,,,,-0.0962602197
12,-0.158532513,0.0452980893,0.107005479,-0.158532513,,,,,,,,,-0.0959977668
13,-0.159441972,0.0453116586,0.107237174,-0.159441972,,,,,,,,,-0.0958616824
14,-0.161462521,0.0454536618,0.108165482,-0.161462521,,,,,,,,,-0.0956919905
15,-0.162449575,0.0457781771,0.109064136,-0.162449575,,,,,,,,,-0.0953621179
16,-0.1638418,0.0460476177,0.110482461,-0.1638418,,,,,,,,,-0.0949118625
17,-0.164862812,0.0462277294,0.110864152,-0.164862812,,,,,,,,,-0.0944853849
18,-0.165700122,0.046436571,0.111080431,-0.165700122,,,,,,,,,-0.0940807253
19,-0.166407778,0.0465424428,0.111514311,-0.166407778,,,,,,,,,-0.0936951944
20,-0.167444028,0.0468364479,0.113335697,-0.167444028,,,,,,,,,-0.0931948183
21,-0.168167887,0.0473414508,0.114666547,-0.168167887,,,,,,,,,-0.0927617482
22,-0.170067989,0.0476846408,0.115558088,-0.170067989,,,,,,,,,-0.0923911351
23,-0.171017358,0.0481556211,0.116371978,-0.171017358,,,,,,,,,-0.0919683084
24,-0.172171261,0.0484338266,0.117563132,-0.172171261,,,,,,,,,-0.0915527513
25,-0.173382491,0.0486267615,0.119296286,-0.173382491,,,,,,,,,-0.0911748996
26,-0.17482343,0.0489524446,0.120158856,-0.17482343,,,,,,,,,-0.090766747
27,-0.176175421,0.0494396923,0.12003844,-0.176175421,,,,,,,,,-0.0903562336
28,-0.178265973,0.0496667214,0.120321475,-0.178265973,,,,,,,,,-0.0899064983
29,-0.179718351,0.0498099158,0.120848131,-0.179718351,,,,,,,,,-0.0895033049
30,-0.180433037,0.0497621207,0.121448539,-0.180433037,,,,,,,,,-0.0890601229
31,-0.180911986,0.0496587936,0.121779338,-0.180911986,,,,,,,,,-0.0886064454
32,-0.181390277,0.0495054763,0.122238121,-0.181390277,,,,,,,,,-0.088148309
33,-0.182485437,0.0494462163,0.123968552,-0.182485437,,,,,,,,,-0.0876504969
34,-0.183357857,0.0499415708,0.12542839,-0.183357857,,,,,,,,,-0.0871445473
35,-0.184392474,0.0501166389,0.125961607,-0.184392474,,,,,,,,,-0.08661836
36,-0.185520891,0.0501753287,0.127193782,-0.185520891,,,,,,,,,-0.0860664629
37,-0.185950002,0.0504988042,0.12905098,-0.185950002,,,,,,,,,-0.0854749143
38,-0.185811301,0.0507945916,0.130719769,-0.185811301,,,,,,,,,-0.0848688197
39,-0.186578873,0.0509965825,0.131574175,-0.186578873,,,,,,,,,-0.0842429047
40,-0.187493814,0.051333846,0.131603303,-0.187493814,,,,,,,,,-0.0835832329
41,-0.18852779,0.051583323,0.13170909,-0.18852779,,,,,,,,,-0.0828945647
42,-0.187969087,0.051449715,0.131260429,-0.187969087,,,,,,,,,-0.0821781598
43,-0.188638012,0.0513131625,0.131546465,-0.188638012,,,,,,,,,-0.0814216818
44,-0.190450125,0.051305012,0.13221966,-0.190450125,,,,,,,,,-0.0806264907
45,-0.190486016,0.0513607934,0.13270474,-0.190486016,,,,,,,,,-0.0798070608
46,-0.190048967,0.0512659335,0.133328489,-0.190048967,,,,,,,,,-0.0789646096
47,-0.190731809,0.0518724926,0.133734794,-0.190731809,,,,,,,,,-0.0780758607
48,-0.190932511,0.0523986635,0.133495824,-0.190932511,,,,,,,,,-0.077152425
49,-0.191734781,0.0529516585,0.134016769,-0.191734781,,,,,,,,,-0.0761947567
50,-0.192423665,0.0535158678,0.134425951,-0.192423665,,,,,,,,,-0.0752024962
51,-0.192658589,0.0534778791,0.134620953,-0.192658589,,,,,,,,,-0.0741841866
52,-0.191796045,0.0533779797,0.134106515,-0.191796045,,,,,,,,,-0.0731378952
53,-0.191053714,0.0534779917,0.134807637,-0.191053714,,,,,,,,,-0.0720518267
54,-0.192219785,0.0532254648,0.134786449,-0.192219785,,,,,,,,,-0.0709298254
55,-0.192011444,0.0530348162,0.135117225,-0.192011444,,,,,,,,,-0.0697752647
56,-0.191321036,0.0528676612,0.135179601,-0.191321036,,,,,,,,,-0.0685954871
57,-0.191345258,0.0527656529,0.13545656,-0.191345258,,,,,,,,,-0.0673825237
58,-0.191940066,0.052632726,0.135617238,-0.191940066,,,,,,,,,-0.0661450964
59,-0.192748153,0.0524977498,0.135367967,-0.192748153,,,,,,,,,-0.0648679887
60,-0.193928378,0.0526208968,0.135405776,-0.193928378,,,,,,,,,-0.063557782
61,-0.194713608,0.0526685399,0.136111342,-0.194713608,,,,,,,,,-0.0622199553
62,-0.194977752,0.0527418149,0.13644737,-0.194977752,,,,,,,,,-0.060846193
63,-0.193961165,0.0528942282,0.135959109,-0.193961165,,,,,,,,,-0.0594480091
64,-0.193353467,0.0532614333,0.134927591,-0.193353467,,,,,,,,,-0.0580131514
65,-0.192524357,0.0534979466,0.135371257,-0.192524357,,,,,,,,,-0.0565479558
66,-0.192591019,0.0535977505,0.135386392,-0.192591019,,,,,,,,,-0.0550556389
67,-0.192815014,0.0536268155,0.135699052,-0.192815014,,,,,,,,,-0.0535346402
68,-0.193052139,0.053375421,0.136171319,-0.193052139,,,,,,,,,-0.0519874309
69,-0.192407375,0.0531290183,0.136626649,-0.192407375,,,,,,,,,-0.0504226764
70,-0.191991244,0.053089354,0.135773819,-0.191991244,,,,,,,,,-0.0488309439
71,-0.192242324,0.0531627237,0.135403605,-0.192242324,,,,,,,,,-0.0472188685
72,-0.192859095,0.0530122832,0.136427314,-0.192859095,,,,,,,,,-0.0455831282
73,-0.193208832,0.0528883507,0.135613965,-0.193208832,,,,,,,,,-0.0439303071
74,-0.192663514,0.0531527121,0.135364797,-0.192663514,,,,,,,,,-0.0422567641
75,-0.191912337,0.0528346864,0.134891539,-0.191912337,,,,,,,,,-0.0405669796
76,-0.191129237,0.0526883789,0.13465677,-0.191129237,,,,,,,,,-0.0388657465
77,-0.191373562,0.0530243314,0.134820229,-0.191373562,,,,,,,,,-0.0371585677
78,-0.190952455,0.0535394017,0.134957249,-0.190952455,,,,,,,,,-0.0354437309
79,-0.19073774,0.0536813386,0.134999766,-0.19073774,,,,,,,,,-0.0337263103
80,-0.190340952,0.053767202,0.134191164,-0.190340952,,,,,,,,,-0.0320039541
81,-0.190275725,0.0540786857,0.13502989,-0.190275725,,,,,,,,,-0.0302812751
82,-0.190164244,0.054238107,0.136536528,-0.190164244,,,,,,,,,-0.0285616047
83,-0.190801545,0.0544932519,0.1368537,-0.190801545,,,,,,,,,-0.0268468212
84,-0.191211995,0.0550103786,0.136504672,-0.191211995,,,,,,,,,-0.0251441395
85,-0.192148363,0.0553285491,0.136325904,-0.192148363,,,,,,,,,-0.0234489325
86,-0.192713451,0.0556724844,0.135680945,-0.192713451,,,,,,,,,-0.0217647417
87,-0.194788616,0.0561858727,0.136239169,-0.194788616,,,,,,,,,-0.0200986617
88,-0.195747956,0.0565251686,0.136264118,-0.195747956,,,,,,,,,-0.0184478083
89,-0.196289265,0.0567973361,0.136232361,-0.196289265,,,,,,,,,-0.0168145688
90,-0.196289455,0.0570047127,0.136711482,-0.196289455,,,,,,,,,-0.0152002295
91,-0.195915139,0.0569035706,0.137174823,-0.195915139,,,,,,,,,-0.0136062936
92,-0.195944139,0.0565101894,0.136160596,-0.195944139,,,,,,,,,-0.0120347059
93,-0.196265041,0.0559840202,0.135378036,-0.196265041,,,,,,,,,-0.0104789016
94,-0.194577624,0.0551769231,0.134962456,-0.194577624,,,,,,,,,-0.00894613383
95,-0.192963271,0.0541710029,0.135084248,-0.192963271,,,,,,,,,-0.00744277301
96,-0.191762246,0.0525504464,0.134730858,-0.191762246,,,,,,,,,-0.00597117683
97,-0.190259521,0.0507978399,0.133158948,-0.190259521,,,,,,,,,-0.00451257313
98,-0.188773619,0.0487054687,0.132075206,-0.188773619,,,,,,,,,-0.00307937635
99,-0.18688672,0.047121659,0.132120057,-0.18688672,,,,,,,,,-0.00166394585
100,-0.18512668,0.0445849796,0.132769384,-0.18512668,,,,,,,,,-0.000276440709
101,-0.18336498,0.0433899242,0.132581179,-0.18336498,,,,,,,,,0.00108759479
102,-0.182100009,0.0435349489,0.132394899,-0.182100009,,,,,,,,,0.00241491096
103,-0.180902233,0.0436521573,0.132363321,-0.180902233,,,,,,,,,0.0037303533
104,-0.17849341,0.0428610793,0.132019612,-0.17849341,,,,,,,,,0.00502708136
105,-0.176355294,0.0427931587,0.131974931,-0.176355294,,,,,,,,,0.00629841021
106,-0.174913577,0.0430695939,0.132709311,-0.174913577,,,,,,,,,0.00755736576
107,-0.171788286,0.0433551507,0.132702834,-0.171788286,,,,,,,,,0.00879546225
108,-0.168875739,0.0444744631,0.133876214,-0.168875739,,,,,,,,,0.00999514598
109,-0.165788473,0.0458417145,0.134912051,-0.165788473,,,,,,,,,0.0111867568
110,-0.162736681,0.0474034157,0.137583484,-0.162736681,,,,,,,,,0.0123531934
111,-0.159600355,0.0480418779,0.139069656,-0.159600355,,,,,,,,,0.0134977383
112,-0.155849308,0.048902384,0.140727671,-0.155849308,,,,,,,,,0.0146266144
113,-0.151339349,0.0525989799,0.14422466,-0.151339349,,,,,,,,,0.015737418
114,-0.146768665,0.0571580251,0.147845692,-0.146768665,,,,,,,,,0.0168247018
115,-0.142706591,0.0622520033,0.149589235,-0.142706591,,,,,,,,,0.0179025941
116,-0.137699013,0.065778166,0.152587891,-0.137699013,,,,,,,,,0.0189688236
117,-0.132690397,0.068166043,0.156074147,-0.132690397,,,,,,,,,0.0200158777
118,-0.12906769,0.0704958339,0.162897958,-0.12906769,,,,,,,,,0.0210497289
119,-0.12470446,0.074851984,0.169966392,-0.12470446,,,,,,,,,0.0220599228
120,-0.121319198,0.0799001135,0.176950947,-0.121319198,,,,,,,,,0.0230686342
121,-0.116708886,0.0853275004,0.185362933,-0.116708886,,,,,,,,,0.0240445478
122,-0.113514901,0.0936979859,0.194170928,-0.113514901,,,,,,,,,0.0249942836
123,-0.11071887,0.102139478,0.202023807,-0.11071887,,,,,,,,,0.0259383376
124,-0.107931462,0.111250158,0.210168827,-0.107931462,,,,,,,,,0.0268536248
125,-0.105176986,0.122973396,0.217982734,-0.105176986,,,,,,,,,0.0277477109
126,-0.101286405,0.136262537,0.224363835,-0.101286405,,,,,,,,,0.0286384343
127,-0.0981422012,0.144771264,0.230913227,-0.0981422012,,,,,,,,,0.0295174914
128,-0.0928437032,0.155887912,0.238190529,-0.0928437032,,,,,,,,,0.0303877025
129,-0.0858378075,0.1673715,0.244436281,-0.0858378075,,,,,,,,,0.0312203776
130,-0.0774687576,0.177895728,0.251302213,-0.0774687576,,,,,,,,,0.0320384483
131,-0.068433356,0.188922499,0.257317671,-0.068433356,,,,,,,,,0.0328341953
132,-0.0564994928,0.199746617,0.262797171,-0.0564994928,,,,,,,,,0.0336165754
133,-0.0410251196,0.206161141,0.268448331,-0.0410251196,,,,,,,,,0.0343800123
134,-0.0247066857,0.210135266,0.274528428,-0.0247066857,,,,,,,,,0.0351335837
135,-0.00525038229,0.209834848,0.279621622,-0.00525038229,,,,,,,,,0.0358560746
136,0.0169995507,0.212963158,0.28671107,0.0169995507,,,,,,,,,0.0365580376
137,0.0428716512,0.216094817,0.289895535,0.0428716512,,,,,,,,,0.0372523411
138,0.0717743045,0.222425691,0.297462159,0.0717743045,,,,,,,,,0.0379247497
139,0.102525557,0.230308091,0.309286477,0.102525557,,,,,,,,,0.0385684355
140,0.13578361,0.241754569,0.323765308,0.13578361,,,,,,,,,0.0392050721
141,0.170474446,0.255035555,0.338356414,0.170474446,,,,,,,,,0.0398400278
142,0.207967352,0.273635342,0.356342946,0.207967352,,,,,,,,,0.0404642707
143,0.246787867,0.298844323,0.381189299,0.246787867,,,,,,,,,0.0410667529
144,0.287918847,0.33577657,0.407111717,0.287918847,,,,,,,,,0.0416532231
145,0.330924451,0.378449232,0.437213186,0.330924451,,,,,,,,,0.0422154481
146,0.373617472,0.428856451,0.473122468,0.373617472,,,,,,,,,0.042772987
147,0.417165895,0.481899226,0.513600125,0.417165895,,,,,,,,,0.0433308685
148,0.460626569,0.538931356,0.555505656,0.460626569,,,,,,,,,0.0438542812
149,0.502362344,0.596668708,0.598103193,0.502362344,,,,,,,,,0.0443847012
150,0.543658135,0.6605276,0.638828844,0.543658135,,,,,,,,,0.0448952411
151,0.583330637,0.723526843,0.680126677,0.583330637,,,,,,,,,0.0453982387
152,0.621048346,0.789046154,0.721881993,0.621048346,,,,,,,,,0.045895199
153,0.657378358,0.850408568,0.759142015,0.657378358,,,,,,,,,0.0463906107
154,0.690022011,0.906316923,0.791734425,0.690022011,,,,,,,,,0.0468633334
155,0.719317294,0.960695435,0.821493221,0.719317294,,,,,,,,,0.0473226406
156,0.741824455,1.00555939,0.846431516,0.741824455,,,,,,,,,0.0477720423
157,0.75898366,1.0320716,0.866384192,0.75898366,,,,,,,,,0.0482023357
158,0.771757646,1.05179837,0.881652428,0.771757646,,,,,,,,,0.048634223
159,0.779942299,1.06250682,0.888101844,0.779942299,,,,,,,,,0.0490561605
160,0.778726656,1.06243057,0.889251885,0.778726656,,,,,,,,,0.0494872472
161,0.769133992,1.05075577,0.882842489,0.769133992,,,,,,,,,0.0499100278
162,0.753512222,1.02854367,0.86843688,0.753512222,,,,,,,,,0.0503109639
163,0.727992594,0.992726441,0.846871244,0.727992594,,,,,,,,,0.0507077045
164,0.694894784,0.947134639,0.818609833,0.694894784,,,,,,,,,0.0511098567
165,0.655656635,0.89143923,0.788732146,0.655656635,,,,,,,,,0.05150137
166,0.612569393,0.828433117,0.75247841,0.612569393,,,,,,,,,0.0518756155
167,0.565013045,0.758694038,0.715168384,0.565013045,,,,,,,,,0.0522376321
168,0.51461348,0.68564875,0.67770113,0.51461348,,,,,,,,,0.0525714392
169,0.461709963,0.608803717,0.634011323,0.461709963,,,,,,,,,0.0529329762
170,0.404639736,0.534957869,0.588030848,0.404639736,,,,,,,,,0.0532683948
171,0.347102103,0.462563359,0.541010459,0.347102103,,,,,,,,,0.0536027279
172,0.286573824,0.395205021,0.494267034,0.286573824,,,,,,,,,0.0539231096
173,0.22683446,0.337891272,0.450994833,0.22683446,,,,,,,,,0.0542418668
174,0.168596319,0.29260123,0.408632833,0.168596319,,,,,,,,,0.0545490599
175,0.110466763,0.251591758,0.369369438,0.110466763,,,,,,,,,0.0548493944
176,0.0547722099,0.213381058,0.337422598,0.0547722099,,,,,,,,,0.055159133
177,0.00126208924,0.183325926,0.308716677,0.00126208924,,,,,,,,,0.0554591959
178,-0.0490185113,0.158967808,0.28387853,-0.0490185113,,,,,,,,,0.055738112
179,-0.0946594838,0.138354937,0.264853518,-0.0946594838,,,,,,,,,0.0560183227
180,-0.13422661,0.122904513,0.25242413,-0.13422661,,,,,,,,,0.0563002001
181,-0.169169392,0.113996817,0.244947081,-0.169169392,,,,,,,,,0.0565641362
182,-0.196849145,0.109101225,0.238269596,-0.196849145,,,,,,,,,0.056809719
183,-0.217351752,0.105185968,0.234658636,-0.217351752,,,,,,,,,0.0570566554
184,-0.232700547,0.100880036,0.232063117,-0.232700547,,,,,,,,,0.0572955741
185,-0.246271421,0.098319078,0.230258753,-0.246271421,,,,,,,,,0.057531709
186,-0.254724522,0.0970049553,0.226705247,-0.254724522,,,,,,,,,0.0577600697
187,-0.260492863,0.0946450043,0.222318256,-0.260492863,,,,,,,,,0.0579837299
188,-0.262821455,0.0920789804,0.217332648,-0.262821455,,,,,,,,,0.0581918361
189,-0.260857278,0.0894069967,0.211272273,-0.260857278,,,,,,,,,0.0584015043
190,-0.258901216,0.0863512204,0.206420578,-0.258901216,,,,,,,,,0.0586066854
191,-0.254268105,0.0828117587,0.201373728,-0.254268105,,,,,,,,,0.0588108359
192,-0.247874285,0.0801654063,0.194003111,-0.247874285,,,,,,,,,0.0589981153
193,-0.241180586,0.0772792211,0.187709596,-0.241180586,,,,,,,,,0.0591751979
194,-0.233213322,0.0745130577,0.181380976,-0.233213322,,,,,,,,,0.0593629784
195,-0.225517421,0.0713318122,0.173237059,-0.225517421,,,,,,,,,0.0595410629
196,-0.217402504,0.0675610966,0.165038858,-0.217402504,,,,,,,,,0.0597195059
197,-0.208746116,0.0637750333,0.157591749,-0.208746116,,,,,,,,,0.059883733
198,-0.200861208,0.0602512554,0.151029365,-0.200861208,,,,,,,,,0.0600342285
199,-0.194416211,0.0570611686,0.144388706,-0.194416211,,,,,,,,,0.0601940556
200,-0.189504972,0.0547829595,0.138184474,-0.189504972,,,,,,,,,0.0603413833
201,-0.184442778,0.0527732896,0.132033221,-0.184442778,,,,,,,,,0.0604809428
202,-0.179107723,0.050943987,0.127232864,-0.179107723,,,,,,,,,0.0606118732
203,-0.175544596,0.0496800828,0.123301343,-0.175544596,,,,,,,,,0.0607232819
204,-0.174095811,0.0487833677,0.120205048,-0.174095811,,,,,,,,,0.0608495467
205,-0.172478881,0.0481890321,0.117298314,-0.172478881,,,,,,,,,0.0609623353
206,-0.170697654,0.0477807798,0.115493103,-0.170697654,,,,,,,,,0.0610638775
207,-0.168334128,0.0477085592,0.113485551,-0.168334128,,,,,,,,,0.061170619
208,-0.16618594,0.0475067456,0.112091927,-0.16618594,,,,,,,,,0.0612718235
