filename,001-09-40-14_1000.bin,002-11-03-38_1000.bin,003-14-17-50_1000.bin,004-06-31-24_1000.bin,005-10-48-45_1000.bin,006-08-39-34_1000.bin,007-18-37-50_1000.bin,007-18-48-13_1000.bin,007-18-48-54_1000.bin,008-08-03-43_1000.bin,008-11-21-59_1000.bin,009-11-04-31_1000.bin,010-09-38-46_1000.bin,010-10-45-04_1000.bin,011-08-16-05_1000.bin,011-08-26-06_1000.bin,012-10-52-55_1000.bin,012-16-06-46_1000.bin,013-09-22-20_1000.bin,014-06-01-10_1000.bin,014-06-36-32_1000.bin,014-07-09-52_1000.bin,014-08-03-23_1000.bin,014-08-17-01_1000.bin,014-08-50-29_1000.bin,014-18-01-53_1000.bin,015-06-43-48_1000.bin,015-11-43-49_1000.bin,016-10-57-28_1000.bin,017-08-01-18_1000.bin,018-06-10-52_1000.bin,018-12-31-15_1000.bin,019-12-59-25_1000.bin,020-11-03-05_1000.bin,020-12-59-18_1000.bin,020-13-16-30_1000.bin,021-12-36-51_1000.bin,022-09-45-51_1000.bin,023-15-25-01_1000.bin,024-12-47-36_1000.bin,026-09-24-50_1000.bin,026-23-13-58_1000.bin,101-15-47-44_1000.bin,102-15-57-39_1000.bin,103-16-05-04_1000.bin,104-16-21-07_1000.bin
ecg1_len,06:09:44:04,06:02:44:28,05:17:14:24,05:17:51:04,03:23:42:01,07:03:18:22,00:00:00:06,00:00:00:08,01:00:29:00,00:03:08:16,06:09:24:59,06:06:51:28,00:00:00:05,01:01:12:55,00:00:43:30,00:20:48:17,06:04:40:56,02:09:39:48,01:13:13:43,00:01:54:23,00:05:28:21,00:05:50:40,00:05:40:35,00:05:22:56,00:05:11:28,00:02:53:40,00:18:59:17,00:21:00:04,05:18:22:48,05:18:15:46,04:04:28:27,04:11:05:32,06:07:54:08,03:01:01:42,03:21:58:44,00:00:00:14,06:04:13:06,05:01:48:58,05:09:39:35,05:08:54:42,04:12:39:11,01:14:52:47,04:16:20:36,03:19:55:06,02:23:41:42,03:16:53:43
ecg2_len,06:09:44:04,06:02:44:28,05:17:14:24,05:17:51:04,03:23:42:01,07:03:18:22,00:00:00:06,00:00:00:08,01:00:29:00,00:03:08:16,06:09:24:59,06:06:51:28,00:00:00:05,01:01:12:55,00:00:43:30,00:20:48:17,06:04:40:56,02:09:39:48,01:13:13:43,00:01:54:23,00:05:28:21,00:05:50:40,00:05:40:35,00:05:22:56,00:05:11:28,00:02:53:40,00:18:59:17,00:21:00:04,05:18:22:48,05:18:15:46,04:04:28:27,04:11:05:32,06:07:54:08,03:01:01:42,03:21:58:44,00:00:00:14,06:04:13:06,05:01:48:58,05:09:39:35,05:08:54:42,04:12:39:11,01:14:52:47,04:16:20:36,03:19:55:06,02:23:41:42,03:16:53:43
ecg3_len,06:09:44:04,06:02:44:28,05:17:14:24,05:17:51:04,03:23:42:01,07:03:18:22,00:00:00:06,00:00:00:08,01:00:29:00,00:03:08:16,06:09:24:59,06:06:51:28,00:00:00:05,01:01:12:55,00:00:43:30,00:20:48:17,06:04:40:56,02:09:39:48,01:13:13:43,00:01:54:23,00:05:28:21,00:05:50:40,00:05:40:35,00:05:22:56,00:05:11:28,00:02:53:40,00:18:59:17,00:21:00:04,05:18:22:48,05:18:15:46,04:04:28:27,04:11:05:32,06:07:54:08,03:01:01:42,03:21:58:44,00:00:00:14,06:04:13:06,05:01:48:58,05:09:39:35,05:08:54:42,04:12:39:11,01:14:52:47,04:16:20:36,03:19:55:06,02:23:41:42,03:16:53:43
accel_x_len,06:09:44:04,06:02:44:28,05:17:14:24,05:17:51:04,03:23:42:01,07:03:18:22,00:00:00:23,00:00:00:30,04:01:56:02,00:03:08:16,06:09:24:59,06:06:51:28,00:00:00:21,04:04:51:39,00:02:54:02,03:11:13:07,06:04:40:56,02:09:39:48,06:04:54:52,00:07:37:31,00:21:53:23,00:23:22:39,00:22:42:19,00:21:31:46,00:20:45:54,00:11:34:42,03:03:57:09,03:12:00:15,05:18:22:48,05:18:15:46,04:04:28:27,04:11:05:32,06:07:54:08,03:01:01:42,03:21:58:44,00:00:00:14,06:04:13:06,05:01:48:58,05:09:39:35,05:08:54:42,04:12:39:11,01:14:52:47,04:16:20:36,03:19:55:06,02:23:41:42,03:16:53:43
accel_y_len,06:09:44:04,06:02:44:28,05:17:14:24,05:17:51:04,03:23:42:01,07:03:18:22,00:00:00:23,00:00:00:30,04:01:56:02,00:03:08:16,06:09:24:59,06:06:51:28,00:00:00:21,04:04:51:39,00:02:54:02,03:11:13:07,06:04:40:56,02:09:39:48,06:04:54:52,00:07:37:31,00:21:53:23,00:23:22:39,00:22:42:19,00:21:31:46,00:20:45:54,00:11:34:42,03:03:57:09,03:12:00:15,05:18:22:48,05:18:15:46,04:04:28:27,04:11:05:32,06:07:54:08,03:01:01:42,03:21:58:44,00:00:00:14,06:04:13:06,05:01:48:58,05:09:39:35,05:08:54:42,04:12:39:11,01:14:52:47,04:16:20:36,03:19:55:06,02:23:41:42,03:16:53:43
accel_z_len,06:09:44:04,06:02:44:28,05:17:14:24,05:17:51:04,03:23:42:01,07:03:18:22,00:00:00:23,00:00:00:30,04:01:56:02,00:03:08:16,06:09:24:59,06:06:51:28,00:00:00:21,04:04:51:39,00:02:54:02,03:11:13:07,06:04:40:56,02:09:39:48,06:04:54:52,00:07:37:31,00:21:53:23,00:23:22:39,00:22:42:19,00:21:31:46,00:20:45:54,00:11:34:42,03:03:57:09,03:12:00:15,05:18:22:48,05:18:15:46,04:04:28:27,04:11:05:32,06:07:54:08,03:01:01:42,03:21:58:44,00:00:00:14,06:04:13:06,05:01:48:58,05:09:39:35,05:08:54:42,04:12:39:11,01:14:52:47,04:16:20:36,03:19:55:06,02:23:41:42,03:16:53:43
temp_len,06:09:44:04,06:02:44:28,05:17:14:24,05:17:51:04,03:23:42:01,07:03:18:22,00:00:00:00,00:00:00:00,00:00:00:00,00:03:08:16,06:09:24:59,06:06:51:28,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,06:04:40:56,02:09:39:48,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,05:18:22:48,05:18:15:46,04:04:28:27,04:11:05:32,06:07:54:08,03:01:01:42,03:21:58:44,00:00:00:14,06:04:13:06,05:01:48:58,05:09:39:35,05:08:54:42,04:12:39:11,01:14:52:47,04:16:20:36,03:19:55:06,02:23:41:42,03:16:53:43
mark_len,06:09:44:04,06:02:44:28,05:17:14:24,05:17:51:04,03:23:42:01,07:03:18:22,00:00:00:23,00:00:00:30,04:01:56:02,00:03:08:16,06:09:24:59,06:06:51:28,00:00:00:21,04:04:51:39,00:02:54:02,03:11:13:07,06:04:40:56,02:09:39:48,06:04:54:52,00:07:37:31,00:21:53:23,00:23:22:39,00:22:42:19,00:21:31:46,00:20:45:54,00:11:34:42,03:03:57:09,03:12:00:15,05:18:22:48,05:18:15:46,04:04:28:27,04:11:05:32,06:07:54:08,03:01:01:42,03:21:58:44,00:00:00:14,06:04:13:06,05:01:48:58,05:09:39:35,05:08:54:42,04:12:39:11,01:14:52:47,04:16:20:36,03:19:55:06,02:23:41:42,03:16:53:43
num_file,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files_missing_accel,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files_missing_temp,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
files_missing_mark,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
